iter	Passed	Remaining
810	6270	1461
811	6278	1453
812	6285	1445
813	6292	1437
814	6298	1429
815	6305	1421
816	6312	1413
817	6320	1406
818	6327	1398
819	6333	1390
820	6338	1381
821	6345	1374
822	6352	1366
823	6360	1358
824	6369	1351
825	6377	1343
826	6385	1335
827	6393	1328
828	6401	1320
829	6409	1312
830	6417	1305
831	6425	1297
832	6434	1289
833	6442	1282
834	6450	1274
835	6457	1266
836	6465	1259
837	6472	1251
838	6478	1243
839	6486	1235
840	6493	1227
841	6502	1220
842	6508	1212
843	6517	1204
844	6525	1196
845	6533	1189
846	6541	1181
847	6549	1174
848	6557	1166
849	6563	1158
850	6570	1150
851	6578	1142
852	6587	1135
853	6595	1127
854	6604	1120
855	6613	1112
856	6618	1104
857	6626	1096
858	6633	1088
859	6641	1081
860	6651	1073
861	6659	1066
862	6665	1058
863	6673	1050
864	6679	1042
865	6687	1034
866	6695	1027
867	6703	1019
868	6710	1011
869	6726	1005
870	6734	997
871	6741	989
872	6749	981
873	6755	973
874	6762	966
875	6770	958
876	6778	950
877	6786	943
878	6792	935
879	6799	927
880	6807	919
881	6813	911
882	6819	903
883	6826	895
884	6835	888
885	6842	880
886	6849	872
887	6857	864
888	6864	857
889	6872	849
890	6879	841
891	6888	833
892	6895	826
893	6903	818
894	6911	810
895	6919	803
896	6925	795
897	6942	788
898	6950	780
899	6957	773
900	6966	765
901	6973	757
902	6978	749
903	6984	741
904	6990	733
905	6997	726
906	7004	718
907	7012	710
908	7020	702
909	7027	695
910	7034	687
911	7041	679
912	7048	671
913	7056	663
914	7063	656
915	7071	648
916	7079	640
917	7086	632
918	7093	625
919	7099	617
920	7106	609
921	7116	602
922	7124	594
923	7133	586
924	7140	578
925	7149	571
926	7156	563
927	7165	555
928	7172	548
929	7179	540
930	7188	532
931	7195	525
932	7204	517
933	7211	509
934	7218	501
935	7227	494
936	7233	486
937	7239	478
938	7246	470
939	7253	462
940	7261	455
941	7270	447
942	7276	439
943	7284	432
944	7292	424
945	7300	416
946	7306	408
947	7313	401
948	7322	393
949	7330	385
950	7337	378
951	7344	370
952	7352	362
953	7360	354
954	7367	347
955	7374	339
956	7382	331
957	7389	323
958	7397	316
959	7402	308
960	7410	300
961	7417	293
962	7423	285
963	7428	277
964	7437	269
965	7446	262
966	7455	254
967	7463	246
968	7473	239
969	7481	231
970	7490	223
971	7499	216
972	7507	208
973	7515	200
974	7523	192
975	7532	185
976	7539	177
977	7547	169
978	7555	162
979	7563	154
980	7569	146
981	7577	138
982	7584	131
983	7592	123
984	7600	115
985	7608	108
986	7614	100
987	7621	92
988	7628	84
989	7636	77
990	7644	69
991	7651	61
992	7659	53
993	7667	46
994	7675	38
995	7683	30
996	7691	23
997	7699	15
998	7706	7
999	7713	0
